Month,Values,CostCarrier,CostElement
4,-308.35,M-T2B-110023497-01,662202000
4,-290.69,M-T2B-110023497-01,662204000
4,-9.71,M-T2B-110023497-01,664605019
4,-252.96,M-T2B-110028739-01,662202000
4,-290.7,M-T2B-110028739-01,663902006
4,-368.4,M-T2B-110028741-01,662202000
4,-178.46,M-T2B-110028741-01,662204000
4,-1389.31,M-T2B-110033331-01,662204000
4,-14810,M-T2B-110037034-01,664001000
4,-3.34,T2B0000001,610001000
4,-54.169999999999995,T2B0000001,610501000
4,-1.3500311979441904e-13,T2B0000001,610601000
4,-37.78,T2B0000001,611601000
4,-36.21,T2B0000001,612205000
4,-2.64,T2B0000001,613101000
4,-35802.439999999995,T2B0000001,640301000
4,-14317.879999999997,T2B0000001,640302000
4,-270.4300000000001,T2B0000001,640312000
4,-16402.38,T2B0000001,640322000
4,-10616.18,T2B0000001,640606000
4,-7460.380000000002,T2B0000001,640901000
4,-467,T2B0000001,640901011
4,-138.09999999999997,T2B0000001,640901012
4,-2156.7699999999986,T2B0000001,640901013
4,-192.0800000000001,T2B0000001,641601000
4,-1102.15,T2B0000001,660801000
4,-2333.9200000000005,T2B0000001,661001000
4,-18.71,T2B0000001,661201000
4,-38.730000000000004,T2B0000001,661202000
4,-406.48,T2B0000001,661301000
4,-97.60000000000001,T2B0000001,661302000
4,-227.04000000000002,T2B0000001,661402000
4,-36.410000000000004,T2B0000001,661701004
4,-88.35999999999999,T2B0000001,661701005
4,-42.91,T2B0000001,662101000
4,-232.33000000000004,T2B0000001,662102002
4,-120.27000000000001,T2B0000001,662202000
4,-2052.9599999999996,T2B0000001,662204000
4,-176.66,T2B0000001,662208000
4,-26.04,T2B0000001,662212000
4,-445.76,T2B0000001,662213000
4,-122.37,T2B0000001,662501000
4,-5849.05,T2B0000001,662608000
4,-178.63,T2B0000001,663701000
4,0,T2B0000001,663902000
4,-123.01000000000002,T2B0000001,663902006
4,-11.620000000000001,T2B0000001,663904000
4,-136.85,T2B0000001,664001000
4,-244.26,T2B0000001,664103000
4,16.75,T2B0000001,664104000
4,2.54,T2B0000001,664201000
4,-11.639999999999999,T2B0000001,664501000
4,-304.23,T2B0000001,664605000
4,-131.46999999999997,T2B0000001,664605019
4,-569.97,T2B0000001,710516000
4,-69.76,T2B0000001,710520000
4,-76.34,T2B0000002,610001000
4,-75.92,T2B0000002,610501000
4,-64.39,T2B0000002,611601000
4,-34.08,T2B0000002,612205000
4,-3.7,T2B0000002,613101000
4,-21644.830000000005,T2B0000002,640301000
4,-3787.539999999999,T2B0000002,640302000
4,-434.0799999999999,T2B0000002,640312000
4,-2557.29,T2B0000002,640322000
4,-758.3499999999999,T2B0000002,640606000
4,-4862.870000000001,T2B0000002,640901000
4,-171.98,T2B0000002,640901011
4,-85.45999999999998,T2B0000002,640901012
4,-776.7399999999998,T2B0000002,640901013
4,67.28000000000009,T2B0000002,641601000
4,-1502.3799999999999,T2B0000002,660801000
4,-306.37,T2B0000002,661001000
