Month,Values
12,-12.4
12,0
12,-18.6
12,-906.12
12,-869.54
12,-26.96
12,-7700.61
12,-277.13
12,-1849.41
12,-39.04
12,-1948.79
12,-1944.1
12,-31
12,-520.28
12,-935.6
12,-6.2
12,-462.39
12,-21.38
12,-12.4
12,409.08
12,-49.95
12,-48.28
12,97.03
12,-3714.27
12,-134.88
12,-32750
12,-3804.85
12,-2504.89
12,-114.47
12,-5
12,-232
12,-169.03
12,-74.66
12,-4.01
12,-126.92
12,417.73
12,-2.39
12,-32431.61
12,-18789.9
12,-13166.4
12,-229.26
12,-841.31
12,-22767.45
12,-5209.24
12,-11192.17
12,-407.25
12,-114.78
12,162.94
12,-381.88
12,-17
12,-24.47
12,-107.99
12,-200.22
12,-879.58
12,-2689.39
12,-15.81
12,-22.15
12,-178.22
12,-139.66
12,-418.96
12,-46.7
12,-65.38
12,-72.31
12,-142
12,-257.85
12,-160.49
12,-276
12,-564.7
12,-13.08
12,-555.2
12,-1.9
12,-3134.47
12,-168.43
12,-43.21
12,-456.17
12,-566.91
12,-0.64
12,0
12,-933.65
12,-9.94
12,-95.85
12,-3179.73
12,-4.27
12,-11.86
12,-46.95
12,-392.4
12,-27.69
12,-136.68
12,-91.82
12,-122.04
12,-4.38
12,-19273.52
12,-1287.7
12,-5590.63
12,-372.08
12,-422.05
12,-3355.76
12,-2579.06
12,-6236.8
12,-206.09
12,-50.96
12,61.96
12,-505.42
12,-388.83
12,-153.6
12,0
12,-4580
12,-1594.55
12,-306.37
12,-28.96
12,-40.55
12,-767.06
12,-1654.1
12,-5898.33
12,-70.65
12,-1176.28
12,-993.49
12,-23.7
12,-5727.85
12,-43.33
12,-3945.69
12,-295.75
12,-272.14
12,-186.52
12,-335.87
12,-1.16
12,93.62
12,-381.51
12,-20.72
12,-271.3
12,-1073.88
12,-238.33
12,-32.24
12,-15.9
12,-1.03
12,-3098.55
12,228.76
12,-187.06
12,-131.66
12,-586.8
12,-1455.61
12,-35.86
12,-28.92
12,80.52
12,-137.27
12,-359.44
12,-6.83
12,-9.57
12,-180.95
12,-12
12,-5.65
12,-829.61
12,-14.3
12,-73.52
12,-0.28
12,-5.19
12,-40
12,-80.61
12,-108.39
12,-31.8
12,-2.58
12,-43708.01
12,14880.31
12,-600
12,-197.49
12,-679.46
12,-7804.01
12,-306.7
12,-2.7
12,-139.48
12,-117.19
12,-953.06
12,-479.97
12,-17.08
12,-23.92
12,-34.4
12,-452.39
12,-178.7
12,-1000
12,-12.72
12,-150
12,-102.82
12,-169.37
12,-0.62
12,-699.69
12,-22.99
12,-163
12,-69.04
12,-30.49
12,-1.64
12,-51.84
12,170.62
12,-0.98
12,-13246.72
12,-7674.75
12,-5377.82
12,-93.64
12,-343.64
12,-9299.38
12,-2127.72
12,-4571.45
12,-166.34
12,-46.88
12,66.55
12,-155.98
12,-6.94
12,-9.99
12,-44.11
12,-81.78
12,-13.16
12,-359.27
12,-1098.49
12,-6.46
12,-9.05
12,-72.79
12,-57.04
12,-171.13
12,-19.07
12,-26.71
12,-29.54
12,-58
12,-105.32
12,-65.55
12,-112.73
12,-3382.51
12,-5.34
12,-226.77
12,-0.77
12,-2500
12,-1280.28
12,-68.79
12,-17.65
12,-186.33
12,-231.55
12,-0.26
12,-381.35
12,-4.06
12,-39.15
12,-1298.76
12,-1.75
12,-4.84
12,-19.17
12,-160.27
12,-11.31
12,-161.22
12,-2893.15
12,0
12,-5.17
12,-19514.62
12,911.94
12,-1228.06
12,-475.83
12,-464.07
12,-7274.08
12,-161.98
12,-115.68
12,625.8
12,-473.66
12,-1890.57
12,-34.15
12,-47.84
12,-904.77
12,0
12,-39.8
12,0
12,-299.54
12,-28.27
12,-290.4
12,-39.65
12,-402.09
12,-1.39
12,-417.76
12,-227
12,-32.24
12,-15.9
12,-1.03
12,-7892.51
12,-330.82
12,-400
12,-102.5
12,-2956.02
12,-30.9
12,-28.92
12,200.54
12,-101.44
12,-374.99
12,-457.35
12,-6.83
12,-9.57
12,-30.09
12,-8
12,-180.95
12,-24.47
12,-5.65
12,-5.61
12,-14.3
12,-61.86
12,-0.28
12,-407.38
12,-55
12,-177.34
12,-2316.25
12,-5.68
12,-23757.4
12,278.39
12,-2474.12
12,-631.97
12,-9649
12,-201.76
12,-86.76
12,416.11
12,-600.38
12,-2080.62
12,-483.59
12,-37.57
12,-52.62
12,-25.55
12,-114.9
12,-995.25
12,-22.24
12,-643.74
12,-29.96
12,-194.8
12,-79.78
12,-102.95
12,-326.69
12,-1.47
12,-409.16
12,-261.03
12,-6
12,-835.35
12,19.92
12,-0.34
12,-228
12,-112.85
12,-672.5
12,-3.62
12,-33482.89
12,3658.21
12,-3385.54
12,-855.79
12,-12560.35
12,-321.91
12,-183.2
12,521.84
12,-1178.19
12,84.2
12,-1234.63
12,-23.91
12,-33.49
12,-633.34
12,86.27
12,-478.93
12,-50.88
12,-807.41
12,-23
12,-120.7
12,-640.54
12,-2.5
12,-46.74
12,-340
12,-128.98
12,-13.2
12,-375.95
12,-4.13
12,-28141.12
12,-437.42
12,-2600
12,-629.14
12,-254.69
12,-10883.89
12,-247.18
12,-115.68
12,897.32
12,-186.41
12,-1484.42
12,-457.35
12,-27.32
12,-38.27
12,-32.74
12,-723.82
12,-480.15
12,-29.68
12,-761.07
12,-224.82
12,-20
12,-5211.63
12,-1.46
12,-238.56
12,-237
12,-778
12,-112.85
12,-74.25
12,-3.62
12,-27841.69
12,-3595.06
12,-1900
12,-431.66
12,-519.32
12,-8916.22
12,-202.6
12,-26.98
12,542.74
12,-393.78
12,-1364.45
12,-1112.24
12,-23.91
12,-33.49
12,-77.25
12,-113.17
12,-633.34
12,-164.42
12,-409.97
12,-109.61
12,-713.93
12,-19.79
12,-59.79
12,-23
12,-112
12,-321.77
12,-0.97
12,0
12,-2237.78
12,-118.4
12,-671
12,-0.01
12,-60
12,-4
12,9.09E-13
12,-5317.82
12,-1871.87
12,7561.18
12,-161.22
12,-219.05
12,-5.17
12,-30389.58
12,61.94
12,2734.38
12,-658.3
12,-10301.57
12,-250.26
12,-86.76
12,633.31
12,-383.75
12,-1859.36
12,-34.15
12,-47.84
12,-904.77
12,-2791.99
12,-1612.42
12,-28.27
12,-61
12,-377.09
12,-1.39
12,-25.97
12,-31.34
12,-236
12,-225.71
12,-153.95
12,-7.23
12,-13835.89
12,1534.7
12,-4188.33
12,-673.33
12,906.24
12,-5680.55
12,-193.09
12,-135.12
12,774.28
12,-387.39
12,-364.42
12,-2658.79
12,-47.82
12,-66.97
12,-1266.68
12,-39.57
12,-795.29
12,-23
12,-103.08
12,-34.62
12,-586.58
12,-1.94
12,-36.35
12,-367
12,-64.49
12,-108.39
12,-31.8
12,-2.07
12,-4429.71
12,343.69
12,-44.92
12,-146.68
12,-2101.38
12,-55.09
12,-43.38
12,567.66
12,-246.98
12,-765.59
12,-13.66
12,-19.14
12,-361.91
12,-11.31
12,-10.14
12,-2.74
12,-11.5
12,-123.72
12,-0.55
12,-10.39
12,-89
12,-112.85
12,-5.17
12,-66.6
12,-768.65
12,-3.62
12,-5734.94
12,599.23
12,-1684.37
12,-220
12,-2691.5
12,-115.16
12,-44.6
12,210.92
12,-409.79
12,-1322.86
12,-23.91
12,-33.49
12,-633.34
12,-51.97
12,-19.79
12,-74.33
12,-23
12,-38.95
12,-225.11
12,-0.97
12,-18.18
12,-10.48
12,-350
12,-408
12,-2316
12,-6670
12,-1668
12,0
12,-372
12,-170
12,-649.25
12,-2277.74
12,-48.37
12,-108.39
12,-23.85
12,-1.55
12,-2847.55
12,-38.39
12,171.94
12,-102.5
12,-1050.85
12,-43.24
12,-28.92
12,-13.51
12,354.12
12,-84
12,-572.9
12,-10.25
12,-14.35
12,-271.43
12,-17.34
12,-8.48
12,-4.96
12,-14.45
12,-7.59
12,-92.79
12,-0.42
12,-7.79
12,-67
12,-48.37
12,-870.35
12,-1.55
12,-4350.02
12,353.89
12,-600
12,-110.01
12,-1757.68
12,-38.01
12,-14.46
12,124.57
12,-211.48
12,-562.52
12,-10.25
12,-14.35
12,-271.43
12,-3.03
12,-8.48
12,-50.4
12,-21.97
12,-127.57
12,-0.42
12,-7.79
12,-69
12,-30.71
12,-161.22
12,-32.5
12,-91.91
12,-92.2
12,-5.17
12,-14685.1
12,1084.93
12,-1800
12,-417.51
12,-5715.71
12,-129.65
12,-99.28
12,653.05
12,-897.97
12,-100.34
12,-151.2
12,-1880.19
12,-498.97
12,-34.15
12,-47.84
12,-121.98
12,-904.77
12,-17.38
12,-327.64
12,-28.27
12,-168
12,-387.74
12,-287.3
12,141.98
12,-361.61
12,-1.39
12,-25.97
12,-405
12,-24766.52
12,-285
12,-901.13
12,-6882.08
12,-338073.28
12,670691.14
12,-5643.9
12,-8088.93
12,-2404.79
12,-178022.05
12,-26205.4
12,-1648.81
12,-812
12,-20.84
12,-712.7
12,-4180.09
12,-19054.54
12,-5060
12,-55073.07
12,-44387.5
12,-531.4
12,-779765
12,-441
12,-7391.27
12,-57
12,-27261.78
12,-2517
12,-652.59
12,-7217
12,-3045
12,-84
12,-5199
12,-499
12,-64.49
12,-50.7
12,-572.36
12,-2.07
12,-12415.52
12,-292.14
12,-1900
12,-234.16
12,-1000
12,-5408.5
12,-124.31
12,-57.84
12,550.13
12,-348.09
12,-2200
12,-739.6
12,-13.66
12,-19.14
12,-361.91
12,230.98
12,628.1
12,-1330.37
12,-11.31
12,-150
12,-7
12,-24.45
12,-174.14
12,-0.55
12,-836.67
12,17.17
12,-115
12,-241.83
12,-131.65
12,-7.75
12,-37299.07
12,1090.67
12,-3354.12
12,-987.45
12,-219.21
12,-14697.74
12,-334.84
12,-159.05
12,669.58
12,-1385.19
12,-2804.8
12,-51.23
12,-71.76
12,-1357.16
12,1094.84
12,1819.95
12,-42.4
12,-999.09
12,-129.6
12,-514.57
12,-2.08
12,-38.95
12,32.73
12,-288
12,-193.47
12,-106.35
12,-6.2
12,-37545.24
12,427.22
12,-5572.12
12,-724.13
12,-14873.55
12,-325.45
12,-130.13
12,439.02
12,-504.58
12,-2242.29
12,-40.99
12,-57.41
12,-1085.73
12,900.1
12,1350.1
12,-33.92
12,-446
12,-110.33
12,-417.03
12,-1.66
12,-31.16
12,15.5
12,-235
12,-5
12,-86.96
12,-2465
12,-8.32
12,-24894.42
12,-3168.68
12,-21047
12,-25.2
12,-18.58
12,-32.05
12,-6.2
12,-3000
12,-305.1
12,-246.62
12,-12
12,-96.73
12,-2628.6
12,-3.1
12,-20024.97
12,-1722.79
12,-3028.06
12,-600.86
12,-9214.39
12,-248.78
12,-130.13
12,484.77
12,-1188.99
12,292.78
12,-1000.4
12,-20.49
12,-28.7
12,-542.86
12,-752.13
12,-39.57
12,-584.8
12,-23.47
12,-494.88
12,-1.94
12,-36.35
12,-180
12,-80.61
12,-118.3
12,-2.58
12,-12551.13
12,982.03
12,-715.12
12,-534.15
12,-586.82
12,-5128.11
12,-144.05
12,-86.76
12,345.68
12,-569.47
12,63.89
12,-875.19
12,-17.08
12,-23.92
12,-452.39
12,-9.46
12,-25.44
12,-64.77
12,-23
12,-29.35
12,-322.84
12,-1.25
12,-23.37
12,-133
12,-64.49
12,-1819.25
12,-2.07
12,-10036.93
12,1272.79
12,-1228.06
12,-366.34
12,-4015.99
12,-104.05
12,-72.3
12,448.01
12,-31.83
12,-703.26
12,-13.66
12,-19.14
12,-361.91
12,-149.36
12,-25.16
12,-7.17
12,-23
12,-1.35
12,-423.33
12,-1.23
12,-23.11
12,-131
12,-3901.56
12,-125.06
12,-49144.37
12,-826.55
12,-1157.67
12,4479.28
12,-40.91
12,-1567.74
12,-177.34
12,-3486.95
12,-5.68
12,-16567.62
12,2883.81
12,-1828.06
12,-395.86
12,75.2
12,-5890.24
12,-137.86
12,-115.68
12,436.29
12,-559.98
12,-2046.94
12,-37.57
12,-52.62
12,-995.25
12,-222.12
12,-33.92
12,-982.81
12,-23
12,-9.11
12,-415.63
12,-1.66
12,-31.16
12,-188
12,-128.98
12,-2300.35
12,-4.13
12,-10070.66
12,-619.11
12,-1196.81
12,-322.52
12,-4668.49
12,-114.07
12,-86.76
12,263.6
12,-852.2
12,-1546.75
12,-27.32
12,-38.27
12,-723.82
12,-8.41
12,-22.61
12,-73.15
12,-8.2
12,-278.37
12,-1.11
12,-20.77
12,-101
12,-193.47
12,-3147.05
12,-6800
12,-6.2
12,-32904.94
12,2021.61
12,-1707.25
12,-1119.47
12,-12588.77
12,-294.24
12,-216.89
12,711.61
12,-1058.29
12,131.64
12,-2063.11
12,-40.99
12,-57.41
12,-1085.73
12,-1012.06
12,-52.58
12,-808.72
12,-79.91
12,-753.87
12,-2.58
12,-48.3
12,-308
12,-48.37
12,-1455.4
12,-1.55
12,-10775.07
12,682.02
12,-887.16
12,-285.86
12,-512.84
12,-4314.45
12,-106.69
12,-43.38
12,240.06
12,-462.79
12,-500.19
12,-10.25
12,-14.35
12,-271.43
12,-131.86
12,-19.79
12,-67.21
12,-0.75
12,-247.44
12,-0.97
12,-18.18
12,-114
12,-96.73
12,-154.85
12,-3.1
12,-23642.5
12,1200.44
12,-580.68
12,-570.82
12,-8608.78
12,-201.94
12,-57.84
12,565.35
12,-690.51
12,-134.9
12,-1062.71
12,-20.49
12,-28.7
12,-542.86
12,-650
12,-12.62
12,-33.92
12,-33.6
12,-36.7
12,-14501.43
12,-1.66
12,-31.16
12,-224
12,-581.85
12,-1258.97
12,600
12,-201.35
12,211.2
12,-4.24
12,-0.45
12,-92.79
12,-0.21
12,-3.89
12,-46
12,-309.79
12,-607.38
12,-3416.5
12,-6333.35
12,-555
12,-1015.69
12,-453.5
12,-32.56
12,-13336.7
12,599.3
12,-2100
12,-329.15
12,-1092.44
12,-86.88
12,-4035.41
12,-85.29
12,-72.3
12,210.95
12,-1129.71
12,-2500
12,-11812.53
12,-24.58
12,-215.18
12,-301.38
12,-5700.06
12,-1150.48
12,-14.13
12,-1773.18
12,-9515
12,-43.15
12,-137.49
12,-2137.43
12,-0.69
