Month,Values,CostCarrier,CostElement
12,-12.4,M-T2B-110023497-01,611601000
12,0,M-T2B-110023497-01,662202000
12,-18.6,M-T2B-110028502-01,611601000
12,-906.12,M-T2B-110028502-01,662202000
12,-869.54,M-T2B-110028502-01,662204000
12,-26.96,M-T2B-110028502-01,664605019
12,-7700.610000000001,M-T2B-110028588-01,661102000
12,-277.13,M-T2B-110028604-01,662202000
12,-1849.4099999999999,M-T2B-110028604-01,662204000
12,-39.040000000000006,M-T2B-110028604-01,664605019
12,-1948.79,M-T2B-110028605-01,662202000
12,-1944.1,M-T2B-110028605-01,662204000
12,-31,M-T2B-110028605-01,664605019
12,-520.28,M-T2B-110028609-01,662202000
12,-935.6,M-T2B-110028609-01,662204000
12,-6.2,M-T2B-110028739-01,611601000
12,-462.39,M-T2B-110028739-01,662204000
12,-21.38,M-T2B-110028739-01,664605019
12,-12.4,M-T2B-110028741-01,611601000
12,409.08000000000015,M-T2B-110028741-01,662204000
12,-49.95,M-T2B-110028741-01,662208000
12,-48.28,M-T2B-110028741-01,664605019
12,97.03,M-T2B-110030699-01,662202000
12,-3714.27,M-T2B-110030699-01,662204000
12,-134.88,M-T2B-110030699-01,664605019
12,-32750,M-T2B-110037034-01,664001000
12,-3804.8500000000004,M-T2B-110037232-01,662202000
12,-2504.8900000000003,M-T2B-110037232-01,662204000
12,-114.46999999999998,M-T2B-110037232-01,664605019
12,-5,M-T2B-110039431-01,662202000
12,-232,M-T2B-110039431-01,662204001
12,-169.02999999999997,T2B0000001,610001000
12,-74.66,T2B0000001,610501000
12,-4.010000000000001,T2B0000001,610601002
12,-126.92000000000002,T2B0000001,611601000
12,417.73,T2B0000001,612809015
12,-2.39,T2B0000001,613101000
12,-32431.609999999993,T2B0000001,640301000
12,-18789.9,T2B0000001,640302000
12,-13166.400000000001,T2B0000001,640304000
12,-229.26000000000002,T2B0000001,640312000
12,-841.3100000000001,T2B0000001,640319000
12,-22767.450000000004,T2B0000001,640322000
12,-5209.240000000001,T2B0000001,640606000
12,-11192.17,T2B0000001,640901000
12,-407.25,T2B0000001,640901011
12,-114.77999999999997,T2B0000001,640901012
12,162.9399999999987,T2B0000001,640901013
12,-381.88000000000005,T2B0000001,641601000
12,-17,T2B0000001,641602000
12,-24.47,T2B0000001,660304003
12,-107.98999999999997,T2B0000001,660304004
12,-200.22,T2B0000001,660503000
12,-879.58,T2B0000001,660801000
12,-2689.39,T2B0000001,661001000
12,-15.809999999999999,T2B0000001,661201000
12,-22.15,T2B0000001,661202000
12,-178.21999999999997,T2B0000001,661301000
12,-139.66,T2B0000001,661302000
12,-418.96000000000004,T2B0000001,661402000
12,-46.70000000000001,T2B0000001,661701000
12,-65.38,T2B0000001,661701004
12,-72.31,T2B0000001,662101000
12,-142,T2B0000001,662102002
12,-257.85,T2B0000001,662201000
12,-160.49,T2B0000001,662202000
12,-275.99999999999994,T2B0000001,662204000
12,-564.7,T2B0000001,662208000
12,-13.080000000000002,T2B0000001,662212000
12,-555.2,T2B0000001,662213000
12,-1.9,T2B0000001,662602000
12,-3134.4699999999993,T2B0000001,662608000
12,-168.43,T2B0000001,663701000
12,-43.209999999999994,T2B0000001,663902006
12,-456.16999999999996,T2B0000001,663903000
12,-566.9100000000001,T2B0000001,664001000
12,-0.6399999999999999,T2B0000001,664101000
12,0,T2B0000001,664103000
12,-933.6500000000001,T2B0000001,664104000
12,-9.940000000000001,T2B0000001,664201000
12,-95.85,T2B0000001,664402000
12,-3179.7299999999996,T2B0000001,664605000
12,-4.2700000000000005,T2B0000001,664605019
12,-11.86,T2B0000001,664605020
12,-46.95,T2B0000001,664804000
12,-392.4,T2B0000001,710516000
12,-27.689999999999998,T2B0000001,710520000
12,-136.68,T2B0000002,610501000
12,-91.82,T2B0000002,610601002
12,-122.04,T2B0000002,611601000
12,-4.380000000000001,T2B0000002,613101000
12,-19273.520000000008,T2B0000002,640301000
12,-1287.7000000000007,T2B0000002,640302000
12,-5590.63,T2B0000002,640304000
12,-372.08,T2B0000002,640312000
