Month,Values
4,-308.35
4,-290.69
4,-9.71
4,-252.96
4,-290.7
4,-368.4
4,-178.46
4,-1389.31
4,-14810
4,-3.34
4,-54.17
4,-1.35E-13
4,-37.78
4,-36.21
4,-2.64
4,-35802.44
4,-14317.88
4,-270.43
4,-16402.38
4,-10616.18
4,-7460.38
4,-467
4,-138.1
4,-2156.77
4,-192.08
4,-1102.15
4,-2333.92
4,-18.71
4,-38.73
4,-406.48
4,-97.6
4,-227.04
4,-36.41
4,-88.36
4,-42.91
4,-232.33
4,-120.27
4,-2052.96
4,-176.66
4,-26.04
4,-445.76
4,-122.37
4,-5849.05
4,-178.63
4,0
4,-123.01
4,-11.62
4,-136.85
4,-244.26
4,16.75
4,2.54
4,-11.64
4,-304.23
4,-131.47
4,-569.97
4,-69.76
4,-76.34
4,-75.92
4,-64.39
4,-34.08
4,-3.7
4,-21644.83
4,-3787.54
4,-434.08
4,-2557.29
4,-758.35
4,-4862.87
4,-171.98
4,-85.46
4,-776.74
4,67.28
4,-1502.38
4,-306.37
4,-26.23
4,-54.27
4,-38.78
4,-318.13
4,-981.56
4,-2878.28
4,-3748.64
4,-34.19
4,-715.17
4,-2799.14
4,-1825.12
4,-128.47
4,-265.79
4,-313.8
4,44.68
4,3.33
4,-381.51
4,-251.51
4,-52.75
4,-26.86
4,-23.85
4,-16.08
4,-1.31
4,-5059.3
4,-658.75
4,-197.49
4,-1874.46
4,-40.95
4,-30.24
4,-231.88
4,-95.92
4,-529.89
4,-9.28
4,-19.2
4,-112.57
4,-5.1
4,-154.9
4,-12.96
4,-40.1
4,-78.14
4,22.99
4,1.26
4,-75
4,-44.77
4,-31.8
4,-32.16
4,-2.18
4,-18401.3
4,-6730
4,-263.32
4,-672.38
4,-6983.27
4,-182.28
4,-37.74
4,-1810.96
4,-165.68
4,-898.73
4,-818.78
4,-15.46
4,-32.01
4,-122.73
4,-187.62
4,-30.5
4,-10.71
4,-390.38
4,-21.61
4,-635.2
4,-100.23
4,-149.66
4,-18.72
4,2.1
4,-157
4,-1.36
4,-22.13
4,-71.54
4,-15.43
4,-14.79
4,-1.08
4,-14623.53
4,-5848.15
4,-110.46
4,-6699.57
4,-4336.19
4,-3047.2
4,-190.74
4,-56.41
4,-880.93
4,-78.46
4,-615
4,0
4,-19000
4,-450.17
4,-953.3
4,-7.64
4,-15.82
4,-166.03
4,-39.86
4,-92.74
4,-14.87
4,-36.09
4,-17.53
4,-94.89
4,-49.13
4,-838.54
4,-72.15
4,-10.64
4,-182.07
4,-49.98
4,-1839.05
4,-72.96
4,-50.25
4,-4.75
4,-55.89
4,-99.77
4,6.84
4,1.04
4,-4.76
4,-124.26
4,-53.7
4,-232.8
4,-28.49
4,-89.54
4,-2890.15
4,-28.14
4,-4.36
4,-17019.61
4,-2935
4,-475.83
4,-299.73
4,-6159.85
4,-156.24
4,-120.79
4,-843.96
4,-405.48
4,-1781.87
4,-30.93
4,-64.01
4,-375.24
4,0
4,-62.25
4,-43.21
4,-283.99
4,-47.38
4,-324.16
4,42.47
4,4.21
4,-168
4,-17.91
4,-15.9
4,-8.04
4,-0.87
4,-6293.29
4,-1688.75
4,-102.5
4,-2335.73
4,-66.38
4,-30.24
4,-374.78
4,-835.88
4,-353.26
4,-457.35
4,-6.19
4,-12.8
4,-57.39
4,-8
4,-75.05
4,-8.64
4,-406.8
4,-14.3
4,-60.24
4,-15.42
4,0.84
4,-43
4,-89.54
4,-2321
4,-40.2
4,-4.36
4,-20191.91
4,-3585.73
4,855.9
4,-460.81
4,-7012
4,-189.74
4,-67.3
