Month,Values
8,-2314.53
8,-879.89
8,-58.11
8,-1004.58
8,-284.4
8,-9.6
8,-354.52
8,-236.29
8,-5.96
8,-19758
8,-40.64
8,-4.47
8,-93.59
8,-36.05
8,-2.73
8,-41797.52
8,-35708.55
8,-160.57
8,-164.67
8,-7043.47
8,-8087.2
8,-404.74
8,-117.9
8,4076.06
8,-87.18
8,-800.64
8,-866.08
8,-15.78
8,-17.15
8,-270.06
8,-175.42
8,-142.39
8,-170.27
8,76.29
8,-768.57
8,-443.28
8,-606.46
8,-12.89
8,-984.63
8,-6739.16
8,-281.65
8,353.88
8,-0.13
8,-202.36
8,-0.64
8,-68.46
8,-16.93
8,3961.59
8,-0.27
8,-46.95
8,-567.47
8,-49.01
8,-66.73
8,-102.1
8,-68.58
8,-30.29
8,-4.48
8,-19722.01
8,-3241.82
8,-3673.13
8,-248.05
8,-1531.76
8,-5596.82
8,-160.52
8,-73.4
8,-625.86
8,-240.21
8,-1287.37
8,-306.31
8,-25.91
8,-28.18
8,-30.24
8,-288.04
8,1745.11
8,-526.31
8,-491.62
8,-19.68
8,-126.61
8,-5851.99
8,-119.49
8,-121.38
8,-2.87
8,-1357.55
8,-0.98
8,-44.25
8,-25.85
8,2670.57
8,-6.1
8,-1073.88
8,-247.75
8,-32.97
8,-17.71
8,-15.9
8,-12.06
8,-1.19
8,-2981.92
8,-490.76
8,-131.66
8,-1023.7
8,-14.15
8,-31.17
8,-172.75
8,-114
8,-328.67
8,-6.88
8,-7.48
8,-13.22
8,-76.44
8,-1690
8,-29.1
8,-5.65
8,-94.23
8,-19.91
8,-67.66
8,-0.28
8,-6.9
8,-7.42
8,-59
8,-44.28
8,-517.05
8,-47.7
8,-36.18
8,-2.98
8,-17688.79
8,645.36
8,183.54
8,-263.32
8,-569.56
8,-7052.46
8,-100.51
8,-22.52
8,795.26
8,-270
8,-876.2
8,-479.97
8,-17.19
8,-18.69
8,-64.59
8,-8.8
8,-191.11
8,-123.49
8,-12.7
8,-2006.39
8,-98.43
8,-244.94
8,-0.63
8,-74.05
8,-16.68
8,-3.61
8,-202
8,-16.6
8,-1.82
8,-38.23
8,-14.72
8,-3600
8,-1.12
8,-17072.23
8,-15530.47
8,-65.59
8,-67.26
8,-2876.91
8,-3303.22
8,-165.32
8,-48.15
8,1503.83
8,-35.61
8,-60
8,-327.02
